current_date - 1,Min Sale Date (Ret),Country,Store,Gender (code),Group,Style (code),Fabric (code),Color (code),Color,Theme (code),Comm. Category SubGroup,Comm. Category Group,Comm. Category,Comm. SubCategory,Operative Brand,Current Sale Season (code),Size (code),"Qty sold (Ret, 445)","Net Amount no VAT (Ret, 445)",On hand Qty
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000598,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,2025PE,1,,,2
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000598,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,2025PE,2,,,3
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000598,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,2025PE,3,,,2
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000598,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,2025PE,4,,,4
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000598,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,BRA,Versace Underwear and Beachwear,2025PE,5,,,4
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000601,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,PANTIES,Versace Underwear and Beachwear,2025PE,1,,,3
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000601,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,PANTIES,Versace Underwear and Beachwear,2025PE,2,,,2
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000601,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,PANTIES,Versace Underwear and Beachwear,2025PE,3,,,2
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000601,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,PANTIES,Versace Underwear and Beachwear,2025PE,4,,,2
2025-09-24,,Canada,OUTLET Halton Hills,F,-missing description-,1000601,1A00515,5B000,Black+Gold,*,RTW,Ready to Wear,UNDERWEAR,PANTIES,Versace Underwear and Beachwear,2025PE,5,,,2
