MPC,MPC SIZE,"Net Amount no VAT (Ret, 445)","Qty sold (Ret, 445)",On hand Qty,In transit Qty,445 Year,445 Month,445 Week,Date YYYYMMDD,Transaction ID,Min Sale Date (Ret),Country,Store,Gender (code),Comm. Category SubGroup,Comm. Category Group,Comm. Category,Comm. SubCategory,Operative Brand,Group,Style (code),Fabric (code),Color (code),Color,Fabric,Theme (code),Current Sale Season (code),Size (code),MFO/EOS,MD DATE,CURRENT MD STATUS,MD %,SEASON DROP
10167111A118611B000,10167111A118611B000@450,297,1,2,0,FY2026,06,22,20250824,17662090,8/24/2025,USA,OUTLET NY Woodbury,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,MERCURY,1016711,1A11861,1B000,Black,CALF LEATHER,*,2025PE,450,EOS,,FP,,Mercury Sneakers All Doors (Selling all 3 channels) - Jun 25 drop
10155411A039121W00V,10155411A039121W00V@UNICA,637.5,1,13,0,FY2026,06,22,20250824,17662116,8/24/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,CLUTCH/EVENING,Versace Accessories,ICON,1015541,1A03912,1W00V,Optical White-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2025PE,UNICA,MFO,,FP,,SS24 MFO Main Drop 1
10155401A039121W00V,10155401A039121W00V@UNICA,624.32,1,3,0,FY2026,06,22,20250824,17662117,8/24/2025,Canada,OUTLET Halton Hills,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1015540,1A03912,1W00V,Optical White-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,,FP,,SS24 MFO Main Drop 1
10187891A109831B00V,10187891A109831B00V@400,230.73,1,,0,FY2026,06,22,20250824,17662117,8/24/2025,Canada,OUTLET Halton Hills,F,SHOES,Accessories,SHOES,FLAT SANDALS,Versace Accessories,GIANNI RIBBON,1018789,1A10983,1B00V,Black-Versace Gold,RUBBER,*,2025PE,400,EOS,,FP,,SS25 DTO - Jun 25 Drop
A89507SA2313772W020,A89507SA2313772W020@2XL,103.15,1,,0,FY2026,06,22,20250824,17662117,8/24/2025,Canada,OUTLET Halton Hills,M,RTW,Ready to Wear,JERSEY,POLO,Versace Apparel,-missing description-,A89507S,A231377,2W020,White+Black,PIQUET COTONE 30/1,MFO,2023AI,2XL,MFO,20250814,MD,60%,Prev Gaze (SS24 or older)
10207361A157501B00V,10207361A157501B00V@UNICA,594.46,1,4,0,FY2026,06,22,20250824,17662144,8/24/2025,Canada,OUTLET Halton Hills,M,BAGS,Accessories,BAGS,MESSENGER,Versace Accessories,VERSACE AVENUE,1020736,1A15750,1B00V,Black-Versace Gold,CALF LEATHER+ EMBOSSED GRECA,MFO,2025PE,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
10133531A039121B00P,10133531A039121B00P@UNICA,492.75,1,,0,FY2026,06,22,20250824,17662153,8/24/2025,USA,OUTLET Orlando Vineland Premium,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013353,1A03912,1B00P,Black-Palladium,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,20250926,MD,50%,Prev Gaze (SS24 or older)
10103251A092622BL4V,10103251A092622BL4V@100,318.75,1,2,0,FY2026,06,22,20250824,17662154,8/24/2025,USA,OUTLET NY Woodbury,M,BELT,Accessories,BELT,BELT,Versace Accessories,LA MEDUSA,1010325,1A09262,2BL4V,Black+Taupe-Versace Gold,CALF LEATHER+CALF LEATHER,MFO,2025PE,100,MFO,,FP,,ACT SS25 GAZE
10071281A051341W00V,10071281A051341W00V@UNICA,1462.5,1,4,0,FY2026,06,22,20250824,17662159,8/24/2025,USA,OUTLET NY Woodbury,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,GRECA GODDESS,1007128,1A05134,1W00V,Optical White-Versace Gold,CALF LEATHER,*,2024AI,UNICA,EOS,20250904,MD,30%,FW24 DTO-Nov 24 Drop
10127521A115905PB50,10127521A115905PB50@57,170.62,1,1,0,FY2026,06,22,20250824,17662160,8/24/2025,USA,OUTLET North Georgia Premium,F,SILK & OTHER ACC,Accessories,SILK OTHER ACC,HAT,Versace Silk Accessories,-missing description-,1012752,1A11590,5PB50,Dusty Rose+Coral+Bone,TWILL POLY ART. GORDOLA ST. LA VACANZA,*,2024AI,57,EOS,20250814,MD,30%,FW24 LA VACANZA - APR 25
ZBS2730T1ZCOJ0041Z4042,ZBS2730T1ZCOJ0041Z4042@UNIC,46.25,1,,0,FY2026,06,22,20250824,17662163,8/24/2025,Canada,OUTLET Halton Hills,X,HOME,Home,TEXTILE,TEXTILE,Versace Home,-missing description-,ZBS2730T1,ZCOJ0041,Z4042,BLACK-GOLD,TESSUTO COTONE BAROCCO&ROBE,HA4,*,UNIC,EOS,20250605,MD,70%,#N/A
10133771A131572W110,10133771A131572W110@400,-118.75,-1,,0,FY2026,06,22,20250824,17662174,8/24/2025,USA,OUTLET North Georgia Premium,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,NEW BASKET,1013377,1A13157,2W110,White+Gold,CALF LEATHER+ LAMINATED CALF LEATHER+ FABRIC,MFO,2024PE,400,MFO,20250926,MD,70%,SS24 MFO Main Drop 2
10133771A131572W110,10133771A131572W110@430,118.75,1,,0,FY2026,06,22,20250824,17662174,8/24/2025,USA,OUTLET North Georgia Premium,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,NEW BASKET,1013377,1A13157,2W110,White+Gold,CALF LEATHER+ LAMINATED CALF LEATHER+ FABRIC,MFO,2024PE,430,MFO,20250926,MD,70%,SS24 MFO Main Drop 2
10122961A006214J050,10122961A006214J050@S,183.75,1,,0,FY2026,06,22,20250824,17662176,8/24/2025,USA,OUTLET North Georgia Premium,X,FASHION JEWELRY,Accessories,FASHION JEWELRY,BRACELET,Versace Accessories,MEDUSA CRYSTAL,1012296,1A00621,4J050,Versace Gold-Fuchsia,METAL+STRASS,MFO,2024PE,S,MFO,20250926,MD,50%,SS24 MFO Main Drop 2
10155411A039121RA8V,10155411A039121RA8V@UNICA,0,0,,0,FY2026,06,22,20250824,17662178,8/24/2025,USA,OUTLET North Georgia Premium,F,BAGS,Accessories,BAGS,CLUTCH/EVENING,Versace Accessories,ICON,1015541,1A03912,1RA8V,Coral-Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024PE,UNICA,MFO,20250926,MD,60%,SS24 MFO Main Drop 2
10192251A086631B00V,10192251A086631B00V@360,377.31,1,,0,FY2026,06,22,20250824,17662185,8/24/2025,Canada,OUTLET Halton Hills,F,SHOES,Accessories,SHOES,MULE/SANDALS,Versace Accessories,ICON,1019225,1A08663,1B00V,Black-Versace Gold,CALF LEATHER+METAL HW,MFO,2024AI,360,MFO,,FP,,FW24 MFO Main Drop 1
10212421A156431B000,10212421A156431B000@445,356.25,1,,0,FY2026,06,22,20250824,17662186,8/24/2025,USA,OUTLET Miami Sawgrass,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,MILANO RUNNER,1021242,1A15643,1B000,Black,LEATHER+SUEDE+BAROQUE JACQUARD NYLON+VERSACE EMBRODERY,MFO,2024AI,445,MFO,,FP,,FW24 MFO Main Drop 1
10119421A120576WD90,10119421A120576WD90@440,-223.12,-1,,0,FY2026,06,22,20250824,17662186,8/24/2025,USA,OUTLET Miami Sawgrass,M,SHOES,Accessories,SHOES,SNEAKERS,Versace Accessories,RUNNER,1011942,1A12057,6WD90,White+White+Gold,CALF LEATHER+SUEDE+FABRICS,MFO,2024PE,440,MFO,20250926,MD,60%,Prev Gaze (SS24 or older)
10133521A039121E99V,10133521A039121E99V@UNICA,731.25,1,9,0,FY2026,06,22,20250824,17662189,8/24/2025,USA,OUTLET Miami Sawgrass,F,BAGS,Accessories,BAGS,SHOULDER,Versace Accessories,ICON,1013352,1A03912,1E99V,Greige - Versace Gold,QUILTED LAMB+LAMB LEATHER+METAL HW,MFO,2024AI,UNICA,MFO,,FP,,FW24 MFO Main Drop 2
10123691A021501B00V,10123691A021501B00V@120,262.5,1,1,0,FY2026,06,22,20250824,17662192,8/24/2025,USA,OUTLET NY Woodbury,M,BELT,Accessories,BELT,BELT,Versace Accessories,ICON,1012369,1A02150,1B00V,Black-Versace Gold,CALF LEATHER,MFO,2025PE,120,MFO,,FP,,ACT SS25 GAZE
10155911A088971B00V,10155911A088971B00V@460,356.25,1,2,0,FY2026,06,22,20250824,17662192,8/24/2025,USA,OUTLET NY Woodbury,M,SHOES,Accessories,SHOES,DRIVERS,Versace Accessories,ICON,1015591,1A08897,1B00V,Black-Versace Gold,CALF LEATHER+ENAMEL HW,MFO,2025PE,460,MFO,,FP,,ACT SS25 GAZE
R740210R100MLSRNUL,R740210R100MLSRNUL@TU,170,1,2,0,FY2026,06,22,20250824,17662199,8/24/2025,USA,OUTLET Chicago Fashion,M,LICENSES,Licenses,FRAGRANCES,FRAGRANCES,Versace Perfumes,-missing description-,R740210,R100MLS,RNUL,NUL,100 ML SPRAY,*,*,TU,EOS,,FP,,FP Licenses -BTQS + OUTLETS
