Brand,W.H.,Location Code,RetailYearSeason,OriginalYearSeason,Style,Fabric,Color,Color Descr.,Gender,COStatus,Var Type,Variant,Waist,Height,Label,Tag,MadeIn,Class,Description,UWHLSPrice,Barcode,BarcodeVeze,Size,Available Qty,Barcode,Price UWHLS,Price URETL,Price ICSS48 (TP),State,OrdYear,OrdSeason,Ord Corporate Name,Ord Customer,Event,OrderType,Ord Number,Order Lines
V1,FDS,HOLD,2024AI,2024AI,1000743,DVIT3T,1P65V,Baby Pink-Baby Pink-Oro Versace,D,New born,,,,,,UFC,IT,,POUCH,0,8054034415,,@UNIC,30,8054034415,0,0,164,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,16012,13
V1,FDS,HOLD,2025AI,2024AI,1000814,DVIT2T,1B00V,Black-Versace Gold,D,Still vali,,,,,,,IT,,MINI BAG,0,8054712403,,@UNIC,2,8054712403,490,1175,237,L2,2024,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,E,22192,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@3,8,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1629,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@4,1,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,2544,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,1,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1435,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,1,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1558,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,1,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1684,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,4,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1861,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,5,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1629,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B010,Nero+Stampa,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@7,5,8053609442,65,150,25,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,1331,1
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B050,Nero+Grigio,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@3,4,8053609442,65,150,25,L2,2025,PE,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,2040,2
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B050,Nero+Grigio,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@4,6,8053609442,65,150,25,L2,2025,PE,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,2040,2
V8,FDS,HOLD,2025AI,2025AI,1000957,1A11188,5B050,Nero+Grigio,U,Pure,,,,,,UFC,IT,,SHORT TRUNK,0,,,@6,3,8053609442,65,150,25,L2,2025,PE,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,2040,2
V0,FDS,HOLD,2025AI,2025AI,1001360,1A10193,5B000,Nero+Oro,D,Pure,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@42,1,8056204979,0,0,330,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,4389,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A10193,5B000,Nero+Oro,D,Pure,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@44,1,8053609070,0,0,330,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,2247,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A10193,5B000,Nero+Oro,D,Pure,,,,,,,IT,,FORMAL SHIRT,0,,,@36,1,8056204979,0,0,330,L2,2026,PE,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,181,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A10193,5B000,Nero+Oro,D,Pure,,,,,,,IT,,FORMAL SHIRT,0,,,@40,1,8056204979,0,0,330,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,3850,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A10193,5B000,Nero+Oro,D,Pure,,,,,,,IT,,FORMAL SHIRT,0,,,@40,1,8056204979,0,0,330,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,4173,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@38,2,8054034438,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@42,8,8054034438,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,,IT,,FORMAL SHIRT,0,,,@38,2,8054034402,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,4027,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,,IT,,FORMAL SHIRT,0,,,@40,1,8054034402,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,3851,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,,IT,,FORMAL SHIRT,0,,,@40,2,8054034402,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,4027,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5GA30,Sea Green+Multicolor,D,New born,,,,,,,IT,,FORMAL SHIRT,0,,,@42,1,8054034402,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,4027,1
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5K640,Eggshell+Multicolor,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@38,10,8054034361,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,2
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5K640,Eggshell+Multicolor,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@40,10,8054034361,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,2
V0,FDS,HOLD,2025AI,2025AI,1001360,1A14746,5K640,Eggshell+Multicolor,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@42,6,8054034361,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,2
V0,FDS,HOLD,2025AI,2025AI,1001360,1A15215,5N790,Dark Brown+Spice Brown+Eggshell,D,New born,,,,,,,IT,,FORMAL SHIRT,0,,,@36,1,8054034400,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,O,976,12
V0,FDS,HOLD,2025AI,2025AI,1001360,1A15277,5K660,Eggshell+Dragonfruit,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@38,10,8054034438,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,3
V0,FDS,HOLD,2025AI,2025AI,1001360,1A15277,5K660,Eggshell+Dragonfruit,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@40,10,8054034438,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,3
V0,FDS,HOLD,2025AI,2025AI,1001360,1A15277,5K660,Eggshell+Dragonfruit,D,New born,,,,,,UFC,IT,,FORMAL SHIRT,0,,,@42,10,8054034438,500,1200,264,L2,2025,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,P3D,R,1764,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5B000,Nero+Oro,D,New born,,,,,,UFC,BG,,DRESS,0,,,@38,1,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,1
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5B000,Nero+Oro,D,New born,,,,,,UFC,BG,,DRESS,0,,,@40,3,8054034545,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,1
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5B000,Nero+Oro,D,New born,,,,,,UFC,BG,,DRESS,0,,,@42,1,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,1
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@36,8,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@38,11,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@40,12,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@42,11,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@44,8,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@46,5,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@48,3,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15741,5R720,Lipstick Red+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@50,2,8054034622,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,3
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15744,5N820,Moka+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@42,1,8054034652,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,2
V0,FDS,HOLD,2024AI,2024AI,1001372,1A15744,5N820,Moka+Gold,D,New born,,,,,,UFC,BG,,DRESS,0,,,@46,1,8054034652,0,0,418,L2,2024,AI,VERSACE OUTLET ORD.TIPO-BULK USA OUTLET,803169,MFD,Z,6174,2
V8,FDS,HOLD,2025AI,2025AI,1001381,1A10011,A1001,Bianco Ottico,D,Still vali,,,,,,UFC,BA,,BRASILIAN SLIP,0,,,@1,8,8053609461,41,95,18,L2,2024,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,STK,S,3679,14
V8,FDS,HOLD,2025AI,2025AI,1001381,1A10011,A1001,Bianco Ottico,D,Still vali,,,,,,UFC,BA,,BRASILIAN SLIP,0,,,@2,9,8053609461,41,95,18,L2,2024,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,STK,S,3679,14
V8,FDS,HOLD,2025AI,2025AI,1001381,1A10011,A1001,Bianco Ottico,D,Still vali,,,,,,UFC,BA,,BRASILIAN SLIP,0,,,@3,8,8053609461,41,95,18,L2,2024,AI,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,STK,S,3679,14
V8,FDS,HOLD,2025AI,2025AI,1001381,1A10011,A1008,Nero,D,Pure,,,,,,UFC,BA,,BRASILIAN SLIP,0,,,@1,1,8053609461,41,95,18,L2,2025,PE,VERSACE USA INC ORD.TIPO-BULK USA FPS,750301,DDF,PR,6975,1
